hash_table,avg_diff,std_diff
telenor.se_asp_tcp_asp_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,71814.61167739419,52179.87219577157
telenor.se_bgpd_tcp_bgpd_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,45355.40073030135,74597.67731985763
telenor.se_bpcd_tcp_bpcd_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-21049.465030169486,64347.1758755349
telenor.se_bpdbm_tcp_bpdbm_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-18543.855465064047,58602.08631615896
telenor.se_bprd_tcp_bprd_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-15402.493569461738,58774.089649089714
telenor.se_canna_tcp_canna_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,12153.84230413308,51222.94218063148
telenor.se_cvspserver_tcp_cvspserver_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,11523.78022383319,44393.398530947576
telenor.se_dcap_tcp_dcap_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-69670.45241889746,62201.00072845134
telenor.se_dict_tcp_dict_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,102898.74906451562,67568.70105457005
telenor.se_distcc_tcp_distcc_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-18378.49454063177,61431.03600011414
telenor.se_eklogin_tcp_eklogin_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,66882.16536621044,65869.76347273818
telenor.se_freeciv_tcp_freeciv_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-134755.43278944492,66189.8541286959
telenor.se_ggz_tcp_ggz_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,5888.513165106645,55008.13158658251
telenor.se_gnunet_tcp_gnunet_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,44510.155018291975,53156.2025082523
telenor.se_gris_tcp_gris_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,53033.871630469956,51736.86015886779
telenor.se_gsidcap_tcp_gsidcap_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,49387.610933876036,63937.763137783884
telenor.se_gsigatekeeper_tcp_gsigatekeeper_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,62318.63463147063,66928.33280780057
telenor.se_hkp_tcp_hkp_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-4210.817965096616,56225.08238416494
telenor.se_hostmon_tcp_hostmon_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,4321.77596053995,65804.06193769345
telenor.se_icpv2_tcp_icpv2_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,69426.06312591235,60201.68325930581
telenor.se_iprop_tcp_iprop_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,40522.084830259024,58121.21767835912
telenor.se_ircd_tcp_ircd_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-85563.32398834493,74690.86930194433
telenor.se_isisd_tcp_isisd_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-20110.39229128046,62279.85224856299
telenor.se_isns_tcp_isns_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,77819.78773704442,60280.11833926965
telenor.se_kamanda_tcp_kamanda_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-41033.7169853954,61295.30599939177
telenor.se_mdns_tcp_mdns_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,21096.348275507196,52708.98512226482
telenor.se_mon_tcp_mon_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,59131.90694832802,50030.8371057081
telenor.se_munin_tcp_munin_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,8299.588232564925,75592.8407134894
telenor.se_nbd_tcp_nbd_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-28804.413117599488,53927.606736419715
